judge,family,intra_faviscore_mean,cross_faviscore_mean,delta,delta_ci_lower,delta_ci_upper,p_value,classification,significant,n_intra,n_cross
gpt-4o-mini,OpenAI,-0.04014063223200749,0.260157110270356,-0.30029774250236346,-0.6601379919462212,0.05576849038590631,0.1256,Rigidity,False,8,6
gpt-3.5-turbo,OpenAI,-0.3796302016807908,0.1127246046847424,-0.4923548063655332,-0.6959101371457034,-0.2622968775384541,0.0017,Rigidity,True,8,6
llama2-70b,Meta,0.15924013770559323,-0.10115987750124228,0.26040001520683553,-0.11984625668616583,0.5993844624490581,0.1795,Narcissism,False,8,6
llama2-13b,Meta,0.32254249671665197,-0.21636260377178904,0.538905100488441,0.14257004612635157,0.9063568179180617,0.0169,Narcissism,True,8,6
mixtral-8x7b,Mistral,-0.0061953805343616455,-0.20428749545287142,0.19809211491850978,-0.1926037605185817,0.5700134261632803,0.3597,Narcissism,False,8,6
mistral-7b,Mistral,0.08672974752348168,-0.2248999190180697,0.3116296665415514,-0.014173445671621246,0.6281929032779862,0.1103,Narcissism,False,8,6
