judge,family,ab_a,ab_b,ab_tie,agg_a,agg_b,agg_tie,consistency,ties_generated,n
gpt-4o-mini,OpenAI,58.666666666666664,38.666666666666664,2.666666666666667,42.0,22.666666666666664,35.333333333333336,66.66666666666666,32.66666666666667,150
llama2-70b,Meta,47.651006711409394,43.624161073825505,8.724832214765101,19.463087248322147,18.120805369127517,62.41610738255034,25.503355704697988,53.691275167785236,149
mixtral-8x7b,Mistral,55.94405594405595,38.46153846153847,5.594405594405594,38.46153846153847,20.97902097902098,40.55944055944056,55.94405594405595,34.96503496503497,143
